1 E Jackson Blvd,651,454,64,7
1 E 51st St,1409,21,9,4
5430 N Olcott Ave,5428,4,0,0
5500 N St. Louis Ave,3889,4,0,1
2400 E 105th St,1300,16,1,3
1649 W Howard St,1030,314,17,6
100 N Central Park Ave,2291,4,7,0
9501 S King Dr,3110,40,12,6
2150 N California Ave,54,67,7,4
2200 N Clark St,2417,59,3,5
2452 W Belmont Ave,421,17,4,0
211 W Adams St,6511,312,13,8
1800 W Lawrence Ave,440,123,3,1
710 N Lake Shore Dr,3199,34,1,2
5801 S Ellis Ave,2626,8,0,0
9801 S Avenue G G,2100,18,1,2
121 N LaSalle St,6080,183,14,9
201 E 111th St,5184,24,8,5
400 S State St,5020,510,44,3
6040 N Kilpatrick Ave,368,2,0,0
14 W 95th St,1560,141,49,13
3600 S Normal Ave,55,15,1,1
2323 N Seminary Ave,3802,40,2,2
1500 N Kedzie Ave,3079,24,4,10
6525 N Sheridan Rd,3830,73,9,4
6301 S Lake Shore Dr,377,3,1,1
200 S Central Ave,2284,35,6,12
1798 W Lunt Ave,562,32,12,8
3225 W Foster Ave,2653,17,1,5
30 E Lake St,751,698,48,9
2400 W 105th St,4181,20,1,3
2900 N Clark St,2442,105,5,7
700 E Solidarity Dr,4865,11,1,0
7091 S South Shore Dr,378,41,8,8
2333 W Sunnyside Ave,3917,40,3,1
5601 S Cottage Grove Ave,2488,25,1,3
13112 S Houston Ave,2989,12,0,0
1200 S Lake Shore Dr,5290,2,1,0
30 W Chicago Ave,376,228,21,6
1558 N Kedzie Ave,3090,49,8,19
1800 N Lake Shore Dr,3186,1,0,0
3360 S State St,3891,14,8,1
251 S Michigan Ave,3444,221,7,0
333 W 35th St,1385,20,1,1
4650 N Manor Ave,401,11,1,1
2301 S Lake Shore Dr,379,72,0,5
3700 N Lake Shore Dr,5135,74,3,9
5531 S King Dr,3112,57,21,7
750 S Halsted St,2946,13,3,0
24 E Congress Pky,2474,341,21,6
700 E Solidarity Dr,2054,11,1,0
13000 S Carondolet Ave,2271,9,0,0
120 N State St,3895,2125,32,7
2234 N Clark St,225,53,4,5
1101 S Canal St,6892,417,11,5
7100 N Harlem Ave,2978,2,0,0
2949 E 131st St,1333,11,0,0
1245 S Loomis St,4725,26,4,8
3241 S Michigan Ave,3456,18,3,3
401 W 123rd St,4414,12,3,4
5700 S Lake Shore Dr,3166,35,3,5
5700 S Cicero Ave,2346,31,0,2
6500 S Racine Ave,3718,25,9,4
4100 N Long Ave,3317,20,1,1
201 W Monroe St,3525,302,13,8
6566 N Avondale Ave,2108,3,1,1
2400 S State St,4244,11,1,6
3112 W Foster Ave,6188,12,2,1
600 S Paulina St,3633,53,0,9
5631 S Kimbark Ave,438,23,1,1
1000 N Dearborn St,2536,157,11,11
1145 W Wilson Ave,4151,157,25,11
2640 N Sheffield Ave,4872,47,4,5
2000 N Lake Shore Dr,3169,1,1,0
6166 N Lincoln Ave,3305,103,3,2
3031 W Armitage Ave,6522,29,5,10
3600 S Princeton Ave,3676,19,6,2
10001 S Woodlawn Ave,4171,31,1,1
3400 N Austin Ave,2097,14,0,2
4728 N Wolcott Ave,5877,118,5,2
13000 S Carondolet Ave,2272,9,0,0
1222 S Michigan Ave,3387,239,17,7
2301 S Lake Shore Dr,3188,73,0,5
3300 N Campbell Ave,2270,7,1,0
820 N LaSalle Dr,3216,132,7,6
318 S Michigan Ave,3403,283,18,4
3700 W 103rd St,4617,5,0,0
